2025-03-04 at 10:12:29 | SUCCESS | [测试log] hello, world
2025-03-04 at 11:09:17 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:15:12 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:15:12 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:15:43 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:15:43 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 11:54:29 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 11:54:29 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 12:01:56 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 12:01:56 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 12:02:06 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 12:02:06 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 12:03:06 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 12:03:06 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 12:03:55 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 12:03:55 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 12:04:56 | DEBUG | Check models Starting ...
2025-03-04 at 12:04:56 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/SwiftAppNG/.venv/lib/python3.12/site-packages/fastapi_amis_admin/admin/admin.py ...
2025-03-04 at 12:04:56 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/SwiftAppNG/.venv/lib/python3.12/site-packages/fastapi_amis_admin/crud/_sqlalchemy.py ...
2025-03-04 at 12:04:56 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/SwiftAppNG/.venv/lib/python3.12/site-packages/fastapi_user_auth/admin/site.py ...
2025-03-04 at 12:04:56 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/SwiftAppNG/.venv/lib/python3.12/site-packages/fastapi_user_auth/auth/models.py ...
2025-03-04 at 12:04:56 | DEBUG | Check models completed ！
2025-03-04 at 12:04:56 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 12:04:56 | DEBUG | Regist admin module [ AppHome ] ...
2025-03-04 at 12:05:53 | DEBUG | Check models Starting ...
2025-03-04 at 12:05:53 | DEBUG | Check models completed ！
2025-03-04 at 12:06:10 | DEBUG | Check models Starting ...
2025-03-04 at 12:06:10 | DEBUG | Check models completed ！
2025-03-04 at 12:06:20 | DEBUG | Check models Starting ...
2025-03-04 at 12:06:20 | DEBUG | Check models completed ！
2025-03-04 at 12:06:20 | DEBUG | Regist admin module [ Contractadmingroup ] ...
2025-03-04 at 12:06:20 | DEBUG | Regist admin module [ Customeradmingroup ] ...
2025-03-04 at 12:06:20 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:12:34 | SUCCESS | [测试log] hello, world
2025-04-02 at 09:12:34 | INFO | [测试log] hello, world
2025-04-02 at 09:12:34 | DEBUG | [测试log] hello, world
2025-04-02 at 09:12:34 | WARNING | [测试log] hello, world
2025-04-02 at 09:12:34 | ERROR | [测试log] hello, world
2025-04-02 at 09:12:34 | CRITICAL | [测试log] hello, world
2025-04-02 at 09:14:44 | DEBUG | Generate models Starting ...
2025-04-02 at 09:14:44 | DEBUG | Generate model for table: Changerequest
2025-04-02 at 09:14:44 | DEBUG | Generate models Completed ...
2025-04-02 at 09:14:44 | DEBUG | Generate groups Starting ...
2025-04-02 at 09:14:44 | DEBUG | Generate group for group: Changerequestgroup
2025-04-02 at 09:14:44 | DEBUG | Generate groups Completed ...
2025-04-02 at 09:14:44 | DEBUG | Generate pages Starting ...
2025-04-02 at 09:14:44 | DEBUG | Generate page for page: changerequest
2025-04-02 at 09:14:44 | DEBUG | Generate pages Completed ...
2025-04-02 at 09:33:47 | DEBUG | Check models Starting ...
2025-04-02 at 09:33:47 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/crtool/.venv/lib/python3.10/site-packages/fastapi_amis_admin/admin/admin.py ...
2025-04-02 at 09:33:47 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/crtool/.venv/lib/python3.10/site-packages/fastapi_amis_admin/crud/_sqlalchemy.py ...
2025-04-02 at 09:33:47 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/crtool/.venv/lib/python3.10/site-packages/fastapi_user_auth/admin/site.py ...
2025-04-02 at 09:33:47 | DEBUG | Check model: /Users/zhangjun/PycharmProjects/crtool/.venv/lib/python3.10/site-packages/fastapi_user_auth/auth/models.py ...
2025-04-02 at 09:33:47 | DEBUG | Check models completed ！
2025-04-02 at 09:33:47 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:33:47 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:39:26 | DEBUG | Check models Starting ...
2025-04-02 at 09:39:26 | DEBUG | Check models completed ！
2025-04-02 at 09:39:26 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:39:26 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:41:30 | DEBUG | Check models Starting ...
2025-04-02 at 09:41:30 | DEBUG | Check models completed ！
2025-04-02 at 09:41:30 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:41:30 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:42:50 | DEBUG | Check models Starting ...
2025-04-02 at 09:42:50 | DEBUG | Check models completed ！
2025-04-02 at 09:42:50 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:42:50 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:43:03 | DEBUG | Check models Starting ...
2025-04-02 at 09:43:03 | DEBUG | Check models completed ！
2025-04-02 at 09:43:03 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:43:03 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:45:00 | DEBUG | Check models Starting ...
2025-04-02 at 09:45:00 | DEBUG | Check models completed ！
2025-04-02 at 09:45:00 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:45:00 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:45:38 | DEBUG | Check models Starting ...
2025-04-02 at 09:45:38 | DEBUG | Check models completed ！
2025-04-02 at 09:45:38 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:45:38 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:49:30 | DEBUG | Check models Starting ...
2025-04-02 at 09:49:30 | DEBUG | Check models completed ！
2025-04-02 at 09:49:31 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:49:31 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:49:58 | DEBUG | Check models Starting ...
2025-04-02 at 09:49:58 | DEBUG | Check models completed ！
2025-04-02 at 09:49:58 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:49:58 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:52:17 | DEBUG | Check models Starting ...
2025-04-02 at 09:52:17 | DEBUG | Check models completed ！
2025-04-02 at 09:52:42 | DEBUG | Check models Starting ...
2025-04-02 at 09:52:42 | DEBUG | Check models completed ！
2025-04-02 at 09:52:42 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:52:42 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:53:08 | DEBUG | Check models Starting ...
2025-04-02 at 09:53:08 | DEBUG | Check models completed ！
2025-04-02 at 09:53:08 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:53:08 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 09:56:59 | DEBUG | Check models Starting ...
2025-04-02 at 09:56:59 | DEBUG | Check models completed ！
2025-04-02 at 09:56:59 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 09:56:59 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:03:34 | DEBUG | Check models Starting ...
2025-04-02 at 10:03:34 | DEBUG | Check models completed ！
2025-04-02 at 10:03:34 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:03:34 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:04:49 | DEBUG | Check models Starting ...
2025-04-02 at 10:04:49 | DEBUG | Check models completed ！
2025-04-02 at 10:04:49 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:04:49 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:04:57 | DEBUG | Check models Starting ...
2025-04-02 at 10:04:57 | DEBUG | Check models completed ！
2025-04-02 at 10:04:57 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:04:57 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:05:12 | DEBUG | Check models Starting ...
2025-04-02 at 10:05:12 | DEBUG | Check models completed ！
2025-04-02 at 10:05:12 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:05:12 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:05:21 | DEBUG | Check models Starting ...
2025-04-02 at 10:05:21 | DEBUG | Check models completed ！
2025-04-02 at 10:05:21 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:05:21 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:05:29 | DEBUG | Check models Starting ...
2025-04-02 at 10:05:29 | DEBUG | Check models completed ！
2025-04-02 at 10:05:29 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:05:29 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:05:36 | DEBUG | Check models Starting ...
2025-04-02 at 10:05:36 | DEBUG | Check models completed ！
2025-04-02 at 10:05:36 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:05:36 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:05:58 | DEBUG | Check models Starting ...
2025-04-02 at 10:05:58 | DEBUG | Check models completed ！
2025-04-02 at 10:05:58 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:05:58 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:06:09 | DEBUG | Check models Starting ...
2025-04-02 at 10:06:09 | DEBUG | Check models completed ！
2025-04-02 at 10:06:09 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:06:09 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:06:19 | DEBUG | Check models Starting ...
2025-04-02 at 10:06:19 | DEBUG | Check models completed ！
2025-04-02 at 10:06:20 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:06:20 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:15:36 | DEBUG | Check models Starting ...
2025-04-02 at 10:15:36 | DEBUG | Check models completed ！
2025-04-02 at 10:15:36 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:15:36 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:16:19 | DEBUG | Check models Starting ...
2025-04-02 at 10:16:19 | DEBUG | Check models completed ！
2025-04-02 at 10:16:19 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:16:19 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:16:53 | DEBUG | Check models Starting ...
2025-04-02 at 10:16:53 | DEBUG | Check models completed ！
2025-04-02 at 10:16:53 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:16:53 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:18:30 | DEBUG | Check models Starting ...
2025-04-02 at 10:18:30 | DEBUG | Check models completed ！
2025-04-02 at 10:18:30 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:18:30 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:19:24 | DEBUG | Check models Starting ...
2025-04-02 at 10:19:24 | DEBUG | Check models completed ！
2025-04-02 at 10:19:24 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:19:24 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:19:48 | DEBUG | Check models Starting ...
2025-04-02 at 10:19:48 | DEBUG | Check models completed ！
2025-04-02 at 10:19:48 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:19:48 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:20:03 | DEBUG | Check models Starting ...
2025-04-02 at 10:20:03 | DEBUG | Check models completed ！
2025-04-02 at 10:20:03 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:20:03 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:20:34 | DEBUG | Check models Starting ...
2025-04-02 at 10:20:34 | DEBUG | Check models completed ！
2025-04-02 at 10:20:35 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:20:35 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:21:07 | DEBUG | Check models Starting ...
2025-04-02 at 10:21:07 | DEBUG | Check models completed ！
2025-04-02 at 10:21:08 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:21:08 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:21:45 | DEBUG | Check models Starting ...
2025-04-02 at 10:21:45 | DEBUG | Check models completed ！
2025-04-02 at 10:21:45 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:21:45 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:21:53 | DEBUG | Check models Starting ...
2025-04-02 at 10:21:53 | DEBUG | Check models completed ！
2025-04-02 at 10:21:53 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:21:53 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:26:03 | DEBUG | Check models Starting ...
2025-04-02 at 10:26:03 | DEBUG | Check models completed ！
2025-04-02 at 10:26:03 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:26:03 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:26:32 | DEBUG | Check models Starting ...
2025-04-02 at 10:26:32 | DEBUG | Check models completed ！
2025-04-02 at 10:26:32 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:26:32 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:27:23 | DEBUG | Check models Starting ...
2025-04-02 at 10:27:23 | DEBUG | Check models completed ！
2025-04-02 at 10:27:23 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:27:23 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:27:45 | DEBUG | Check models Starting ...
2025-04-02 at 10:27:45 | DEBUG | Check models completed ！
2025-04-02 at 10:27:45 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:27:45 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:28:27 | DEBUG | Check models Starting ...
2025-04-02 at 10:28:27 | DEBUG | Check models completed ！
2025-04-02 at 10:28:28 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:28:28 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:30:26 | DEBUG | Check models Starting ...
2025-04-02 at 10:30:26 | DEBUG | Check models completed ！
2025-04-02 at 10:30:27 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:30:27 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:31:49 | DEBUG | Check models Starting ...
2025-04-02 at 10:31:49 | DEBUG | Check models completed ！
2025-04-02 at 10:31:49 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:31:49 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:32:20 | DEBUG | Check models Starting ...
2025-04-02 at 10:32:20 | DEBUG | Check models completed ！
2025-04-02 at 10:32:20 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:32:20 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:32:42 | DEBUG | Check models Starting ...
2025-04-02 at 10:32:42 | DEBUG | Check models completed ！
2025-04-02 at 10:32:42 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:32:42 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:33:32 | DEBUG | Check models Starting ...
2025-04-02 at 10:33:32 | DEBUG | Check models completed ！
2025-04-02 at 10:33:32 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:33:32 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:33:50 | DEBUG | Check models Starting ...
2025-04-02 at 10:33:50 | DEBUG | Check models completed ！
2025-04-02 at 10:33:50 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:33:50 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:35:34 | DEBUG | Check models Starting ...
2025-04-02 at 10:35:34 | DEBUG | Check models completed ！
2025-04-02 at 10:35:35 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:35:35 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:38:07 | DEBUG | Check models Starting ...
2025-04-02 at 10:38:07 | DEBUG | Check models completed ！
2025-04-02 at 10:38:07 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:38:07 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:40:11 | DEBUG | Check models Starting ...
2025-04-02 at 10:40:11 | DEBUG | Check models completed ！
2025-04-02 at 10:40:11 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:40:11 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:41:18 | DEBUG | Check models Starting ...
2025-04-02 at 10:41:18 | DEBUG | Check models completed ！
2025-04-02 at 10:41:18 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:41:18 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:41:47 | DEBUG | Check models Starting ...
2025-04-02 at 10:41:47 | DEBUG | Check models completed ！
2025-04-02 at 10:41:47 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:41:47 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:42:05 | DEBUG | Check models Starting ...
2025-04-02 at 10:42:05 | DEBUG | Check models completed ！
2025-04-02 at 10:42:05 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:42:05 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:42:57 | DEBUG | Check models Starting ...
2025-04-02 at 10:42:57 | DEBUG | Check models completed ！
2025-04-02 at 10:42:58 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:42:58 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:43:21 | DEBUG | Check models Starting ...
2025-04-02 at 10:43:21 | DEBUG | Check models completed ！
2025-04-02 at 10:43:22 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:43:22 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:43:51 | DEBUG | Check models Starting ...
2025-04-02 at 10:43:51 | DEBUG | Check models completed ！
2025-04-02 at 10:43:51 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:43:51 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:44:00 | DEBUG | Check models Starting ...
2025-04-02 at 10:44:00 | DEBUG | Check models completed ！
2025-04-02 at 10:44:00 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:44:00 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:44:24 | DEBUG | Check models Starting ...
2025-04-02 at 10:44:24 | DEBUG | Check models completed ！
2025-04-02 at 10:44:25 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:44:25 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:44:52 | DEBUG | Check models Starting ...
2025-04-02 at 10:44:52 | DEBUG | Check models completed ！
2025-04-02 at 10:44:52 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:44:52 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:45:19 | DEBUG | Check models Starting ...
2025-04-02 at 10:45:19 | DEBUG | Check models completed ！
2025-04-02 at 10:45:19 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:45:19 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:49:43 | DEBUG | Check models Starting ...
2025-04-02 at 10:49:43 | DEBUG | Check models completed ！
2025-04-02 at 10:49:43 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:49:43 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:55:23 | DEBUG | Check models Starting ...
2025-04-02 at 10:55:23 | DEBUG | Check models completed ！
2025-04-02 at 10:55:23 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:55:23 | DEBUG | Regist admin module [ AppHome ] ...
2025-04-02 at 10:55:35 | DEBUG | Check models Starting ...
2025-04-02 at 10:55:35 | DEBUG | Check models completed ！
2025-04-02 at 10:55:35 | DEBUG | Regist admin module [ Changerequestgroup ] ...
2025-04-02 at 10:55:35 | DEBUG | Regist admin module [ AppHome ] ...
